02202307000001FO                                                FRENTE OBRERO                                                                                                                                         000001000001000001
02202307000002PSOE                                              PARTIDO SOCIALISTA OBRERO ESPAÑOL                                                                                                                     000002000002000002
02202307000003PUM+J                                             POR UN MUNDO MÁS JUSTO                                                                                                                                000003000003000003
02202307000004ALM                                               ALMERIENSES - REGIONALISTAS PRO ALMERÍA                                                                                                               000004000004000004
02202307000005PP                                                PARTIDO POPULAR                                                                                                                                       000005000005000005
02202307000006VOX                                               VOX                                                                                                                                                   000006000006000006
02202307000007PACMA                                             PARTIDO ANIMALISTA CON EL MEDIO AMBIENTE                                                                                                              000007000007000007
02202307000008LB                                                LIBRES                                                                                                                                                000008000008000008
02202307000009RECORTES CERO                                     RECORTES CERO                                                                                                                                         000009000009000009
02202307000010SUMAR                                             SUMAR                                                                                                                                                 000010000010000010
02202307000011SUMAR                                             SUMAR ANDALUCÍA                                                                                                                                       000011000011000010
02202307000012ADELANTE ANDALUCÍA                                ADELANTE ANDALUCÍA                                                                                                                                    000012000012000012
02202307000013CJ                                                CAMINANDO JUNTOS                                                                                                                                      000013000013000013
02202307000014ESCAÑOS EN BLANCO                                 ESCAÑOS EN BLANCO PARA DEJAR ESCAÑOS VACÍOS                                                                                                           000014000014000014
02202307000015PCTE                                              PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA                                                                                                       000015000015000015
02202307000016JxG                                               JUNTOS POR GRANADA                                                                                                                                    000016000016000016
02202307000017XH                                                POR HUELVA                                                                                                                                            000017000017000017
02202307000018JM+                                               JAÉN MERECE MÁS                                                                                                                                       000018000018000018
02202307000019FE de las JONS                                    FALANGE ESPAÑOLA DE LAS J.O.N.S.                                                                                                                      000019000019000019
02202307000020F.I.A.                                            FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓN                                                                                                            000020000020000020
02202307000021SUMAR ARAGÓN                                      SUMAR ARAGÓN                                                                                                                                          000021000021000010
02202307000023EXISTE                                            ARAGÓN EXISTE - COALICIÓN EXISTE                                                                                                                      000023000023000023
02202307000024PAR                                               PARTIDO ARAGONÉS                                                                                                                                      000024000024000024
02202307000025EXISTE                                            TERUEL EXISTE - COALICIÓN EXISTE                                                                                                                      000025000023000023
02202307000026PUEDE                                             PARTIDO UNIONISTA ESTADO DE ESPAÑA                                                                                                                    000026000026000026
02202307000027ESPAÑA VACIADA                                    ESPAÑA VACIADA                                                                                                                                        000027000027000027
02202307000028ASTURIAS EXISTE EV                                ASTURIAS EXISTE-ESPAÑA VACIADA                                                                                                                        000028000028000028
02202307000029PSIB-PSOE                                         PARTIDO SOCIALISTA DE ISLAS BALEARES-PSOE                                                                                                             000029000029000002
02202307000030MÉS PER MALLORCA-MÉS PER MENORCA-SUMAR            SUMAR MÉS                                                                                                                                             000030000030000010
02202307000031CCa                                               COALICIÓN CANARIA                                                                                                                                     000031000031000031
02202307000032NC-bc                                             NUEVA CANARIAS - BLOQUE CANARISTA                                                                                                                     000032000032000032
02202307000033SUMAR                                             SUMAR CANARIAS                                                                                                                                        000033000033000010
02202307000034AHORA CANARIAS-PCPC                               AHORA CANARIAS-PARTIDO COMUNISTA DEL PUEBLO CANARIO                                                                                                   000034000034000034
02202307000035XAV                                               POR ÁVILA                                                                                                                                             000035000035000035
02202307000036VB                                                VÍA BURGALESA                                                                                                                                         000036000036000036
02202307000037EV-PCAS-TC                                        ESPAÑA VACIADA-PARTIDO CASTELLANO-TIERRA COMUNERA                                                                                                     000037000037000037
02202307000038PREPAL                                            PARTIDO REGIONALISTA DEL PAÍS LEONÉS                                                                                                                  000038000038000038
02202307000039U.P.L.                                            UNIÓN DEL PUEBLO LEONÉS                                                                                                                               000039000039000039
02202307000040VP                                                VAMOS PALENCIA                                                                                                                                        000040000040000040
02202307000041GITV                                              GRUPO INDEPENDIENTE PALENCIA TIERRA VIVA                                                                                                              000041000041000041
022023070000423e                                                TERCERA EDAD EN ACCIÓN                                                                                                                                000042000042000042
02202307000043SY                                                SORIA ¡YA!                                                                                                                                            000043000043000043
02202307000044Ud.Ca                                             UNIDAD CASTELLANA                                                                                                                                     000044000044000044
02202307000045FUERZA CÍVICA                                     FUERZA CÍVICA                                                                                                                                         000045000045000045
02202307000046Zsi                                               ZAMORA SÍ                                                                                                                                             000046000046000046
